bulan;tahun;kecamatan;kelurahan;jumlah_pasangan_usia_subur;jumlah_target_pus;jumlah_pus_istrinya_kurang_dari_20_tahun;jumlah_pus_tidak_terpenuhi_berkb;jumlah_akseptor_kb;jumlah_peserta_kb_baru;jumlah_peserta_kb_aktif;penambahanpengurangan_peserta_kb_aktif;jumlah_peserta_kb_baru_yang_menggunakan_mkjp;prosentase_peserta_kb_aktif;jumlah_peserta_kb_aktif_yang_dropout_kontrasepsi
Januari;2023;KARANG PILANG;KARANG PILANG;9152;9152;0;1854;4854;0;4793;4793;0;52.371.066.433.566;74
Januari;2023;WONOCOLO;WONOCOLO;7937;7937;0;2154;3318;5;3286;3279;7;41.401.033.135.946;36
Januari;2023;RUNGKUT;RUNGKUT;14907;14907;0;3563;6996;2;6941;6941;0;46.562.017.843.966;33
Januari;2023;WONOKROMO;WONOKROMO;15274;15274;0;3222;7578;16;7512;7500;12;49.181.615.817.729;3
Januari;2023;TEGALSARI;TEGALSARI;8198;8198;7;2255;3874;11;3833;3817;16;46.755.306.172.237;46
Januari;2023;SAWAHAN;SAWAHAN;19371;19371;0;4624;9113;0;8992;8990;2;46.419.906.045.119;4
Januari;2023;GENTENG;GENTENG;4763;4763;0;1114;2440;7;2420;2415;5;5.080.831.408.776;31
Januari;2023;GUBENG;GUBENG;10943;10943;0;3000;5021;23;4916;4916;0;44.923.695.513.113;65
Januari;2023;SUKOLILO;SUKOLILO;10884;10884;0;2820;4999;13;4975;4961;14;45.709.298.052.187;53
Januari;2023;TAMBAKSARI;TAMBAKSARI;24389;24389;3;6002;11707;0;11293;11273;20;46.303.661.486.736;80
Januari;2023;SIMOKERTO;SIMOKERTO;8787;8787;2;1647;4693;49;4672;4672;0;53.169.454.876.522;35
Januari;2023;PABEAN CANTIAN;PABEAN CANTIAN;6917;6917;4;1278;3781;10;3744;3744;0;54.127.511.927.136;18
Januari;2023;BUBUTAN;BUBUTAN;10276;10276;0;2247;5146;0;5097;5090;7;49.601.012.066.952;0
Januari;2023;TANDES;TANDES;9578;9578;0;2209;4635;8;4571;4558;13;47.723.950.720.401;1
Januari;2023;KREMBANGAN;KREMBANGAN;11855;11855;0;2514;5962;9;5875;5866;9;49.557.148.882.328;86
Januari;2023;SEMAMPIR;SEMAMPIR;17684;17684;0;3409;9426;10;9336;9332;4;52.793.485.636.734;123
Januari;2023;KENJERAN;KENJERAN;22385;22385;0;4277;12844;21;12765;12764;1;5.702.479.338.843;154
Januari;2023;LAKARSANTRI;LAKARSANTRI;7204;7204;0;1148;4064;14;4029;4029;0;55.927.262.631.871;0
Januari;2023;BENOWO;BENOWO;11065;11065;0;2521;5739;7;5696;5692;4;5.147.763.217.352;47
Januari;2023;WIYUNG;WIYUNG;7980;7980;0;1549;4352;62;4274;4274;0;53.558.897.243.108;38
Januari;2023;DUKUH PAKIS;DUKUH PAKIS;6549;6549;0;1547;3198;2;3147;3142;5;48.053.137.883.646;36
Januari;2023;GAYUNGAN;GAYUNGAN;3574;3574;0;1029;1537;10;1502;1502;0;42.025.741.466.144;1
Januari;2023;JAMBANGAN;JAMBANGAN;6493;6493;0;1226;3263;0;3209;3209;0;49.422.454.951.486;0
Januari;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;7822;7822;0;1834;3684;0;3634;3634;0;46.458.706.213.245;39
Januari;2023;GUNUNG ANYAR;GUNUNG ANYAR;6933;6933;0;1793;3041;0;2994;2994;0;43.184.768.498.486;28
Januari;2023;MULYOREJO;MULYOREJO;6186;6186;0;1585;3041;2;2970;2970;0;48.011.639.185.257;25
Januari;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;9124;9124;1;2064;4612;24;4583;4582;1;50.230.162.209.557;45
Januari;2023;ASEM ROWO;ASEM ROWO;5675;5675;0;928;3421;3;3392;3392;0;59.770.925.110.132;49
Januari;2023;BULAK;BULAK;6696;6696;0;1411;3657;8;3625;3625;0;54.136.798.088.411;59
Januari;2023;PAKAL;PAKAL;8368;8368;0;1657;4677;0;4638;4638;0;55.425.430.210.325;22
Januari;2023;SAMBIKEREP;SAMBIKEREP;8141;8141;0;1437;5110;0;5072;5072;0;62.301.928.510.011;41
Februari;2023;KARANG PILANG;KARANG PILANG;9470;9470;0;1661;5535;1;5480;687;7;57.866.948.257.656;0
Februari;2023;WONOCOLO;WONOCOLO;8248;8248;0;1962;3927;1;3898;612;2;47.259.941.804.074;0
Februari;2023;RUNGKUT;RUNGKUT;15209;15209;0;3175;8424;0;8377;1436;8;55.079.229.403.643;0
Februari;2023;WONOKROMO;WONOKROMO;15565;15565;0;2904;8909;39;8848;1336;22;56.845.486.668.808;0
Februari;2023;TEGALSARI;TEGALSARI;8492;8492;8;2025;4616;0;4581;748;6;53.944.889.307.584;0
Februari;2023;SAWAHAN;SAWAHAN;19695;19695;0;4068;10089;0;9972;980;6;50.632.140.137.091;0
Februari;2023;GENTENG;GENTENG;5104;5104;0;1010;3059;0;3044;624;5;59.639.498.432.602;0
Februari;2023;GUBENG;GUBENG;11205;11205;0;2650;5629;8;5532;616;12;49.370.816.599.732;0
Februari;2023;SUKOLILO;SUKOLILO;11172;11172;0;2488;5986;6;5966;991;11;53.401.360.544.218;0
Februari;2023;TAMBAKSARI;TAMBAKSARI;24650;24650;9;5199;13367;0;12968;1675;26;52.608.519.269.777;0
Februari;2023;SIMOKERTO;SIMOKERTO;9053;9053;0;1379;5366;51;5346;674;4;59.052.247.873.633;0
Februari;2023;PABEAN CANTIAN;PABEAN CANTIAN;7178;7178;2;1074;4381;9;4348;604;4;60.573.976.037.894;0
Februari;2023;BUBUTAN;BUBUTAN;10543;10543;0;1985;5768;0;5720;623;8;54.254.007.398.274;0
Februari;2023;TANDES;TANDES;9905;9905;0;1936;5236;19;5175;604;5;52.246.340.232.206;0
Februari;2023;KREMBANGAN;KREMBANGAN;12149;12149;1;2069;6564;7;6484;609;3;53.370.647.789.942;0
Februari;2023;SEMAMPIR;SEMAMPIR;18008;18008;0;2760;10079;1;9997;661;7;55.514.215.904.043;0
Februari;2023;KENJERAN;KENJERAN;22719;22719;0;3245;13719;44;13651;886;22;60.086.271.402.791;0
Februari;2023;LAKARSANTRI;LAKARSANTRI;7497;7497;0;1025;4737;4;4704;675;1;62.745.098.039.216;0
Februari;2023;BENOWO;BENOWO;11379;11379;0;2203;6411;7;6372;676;4;55.997.890.851.569;0
Februari;2023;WIYUNG;WIYUNG;8304;8304;0;1375;4953;35;4876;602;5;58.718.689.788.054;0
Februari;2023;DUKUH PAKIS;DUKUH PAKIS;6821;6821;0;1399;3850;9;3803;656;12;55.754.288.227.533;0
Februari;2023;GAYUNGAN;GAYUNGAN;3865;3865;0;951;2119;4;2084;582;0;5.391.979.301.423;0
Februari;2023;JAMBANGAN;JAMBANGAN;6766;6766;0;1113;4064;0;4015;806;1;59.340.821.755.838;0
Februari;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;8113;8113;0;1615;4231;9;4189;555;5;51.633.181.313.941;0
Februari;2023;GUNUNG ANYAR;GUNUNG ANYAR;7218;7218;0;1610;3704;0;3659;665;2;50.692.712.662.787;0
Februari;2023;MULYOREJO;MULYOREJO;6468;6468;0;1412;3790;39;3720;750;3;57.513.914.656.772;0
Februari;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;9431;9431;6;1826;5408;29;5384;801;3;57.088.325.734.281;0
Februari;2023;ASEM ROWO;ASEM ROWO;5978;5978;0;785;4131;4;4104;712;2;68.651.722.984.276;0
Februari;2023;BULAK;BULAK;6988;6988;1;1259;4195;0;4167;542;6;59.630.795.649.685;0
Februari;2023;PAKAL;PAKAL;8673;8673;0;1474;5245;0;5213;575;5;60.106.076.328.837;0
Februari;2023;SAMBIKEREP;SAMBIKEREP;8422;8422;0;1250;5677;0;5641;569;2;6.697.933.982.427;0
Maret;2023;KARANG PILANG;KARANG PILANG;9884;9884;0;1647;6172;18;6122;642;3;61.938.486.442.736;74
Maret;2023;WONOCOLO;WONOCOLO;8653;8653;0;1944;4561;11;4538;640;1;52.444.238.992.257;36
Maret;2023;RUNGKUT;RUNGKUT;16095;16095;0;3149;9761;10;9719;1342;3;60.385.212.799.006;33
Maret;2023;WONOKROMO;WONOKROMO;16488;16488;0;2882;10280;86;10225;1377;8;62.014.798.641.436;3
Maret;2023;TEGALSARI;TEGALSARI;9093;9093;1;2010;5334;12;5304;723;3;58.330.583.965.688;46
Maret;2023;SAWAHAN;SAWAHAN;20190;20190;0;4026;11296;19;11186;1214;3;55.403.665.180.783;4
Maret;2023;GENTENG;GENTENG;5620;5620;0;1002;3672;10;3662;618;1;65.160.142.348.754;31
Maret;2023;GUBENG;GUBENG;12074;12074;0;2626;6307;22;6216;684;6;51.482.524.432.665;65
Maret;2023;SUKOLILO;SUKOLILO;11724;11724;0;2476;7106;36;7091;1125;7;60.482.770.385.534;53
Maret;2023;TAMBAKSARI;TAMBAKSARI;25668;25668;14;5159;15126;48;14735;1767;9;5.740.610.877.357;80
Maret;2023;SIMOKERTO;SIMOKERTO;9430;9430;1;1371;6022;60;6008;662;2;63.711.558.854.719;35
Maret;2023;PABEAN CANTIAN;PABEAN CANTIAN;7626;7626;0;1065;4985;14;4957;609;4;65.001.311.303.436;18
Maret;2023;BUBUTAN;BUBUTAN;11119;11119;0;1966;6407;21;6364;644;6;57.235.362.892.346;0
Maret;2023;TANDES;TANDES;10634;10634;0;1924;5911;19;5857;682;2;55.078.051.532.819;1
Maret;2023;KREMBANGAN;KREMBANGAN;12707;12707;1;2054;7229;13;7154;670;1;56.299.677.343.197;86
Maret;2023;SEMAMPIR;SEMAMPIR;18446;18446;3;2744;11014;10;10937;940;4;59.291.987.422.747;123
Maret;2023;KENJERAN;KENJERAN;23243;23243;0;3227;14828;89;14765;1114;5;63.524.502.000.602;154
Maret;2023;LAKARSANTRI;LAKARSANTRI;7966;7966;0;1019;5438;13;5410;706;0;67.913.632.939.995;0
Maret;2023;BENOWO;BENOWO;11819;11819;2;2184;7138;12;7104;732;3;60.106.608.004.061;47
Maret;2023;WIYUNG;WIYUNG;8809;8809;0;1366;5488;53;5416;540;2;61.482.574.639.573;38
Maret;2023;DUKUH PAKIS;DUKUH PAKIS;7237;7237;3;1392;4492;26;4451;648;5;61.503.385.380.683;36
Maret;2023;GAYUNGAN;GAYUNGAN;4261;4261;0;945;2691;1;2661;577;1;62.450.129.077.681;1
Maret;2023;JAMBANGAN;JAMBANGAN;7088;7088;0;1094;4863;12;4821;806;2;68.016.365.688.488;0
Maret;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;8540;8540;4;1603;4778;14;4741;552;4;55.515.222.482.436;39
Maret;2023;GUNUNG ANYAR;GUNUNG ANYAR;7549;7549;1;1596;4361;3;4321;662;2;57.239.369.452.908;28
Maret;2023;MULYOREJO;MULYOREJO;6798;6798;1;1407;4435;64;4370;650;0;64.283.612.827.302;25
Maret;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;9888;9888;1;1814;6195;24;6176;792;6;62.459.546.925.566;45
Maret;2023;ASEM ROWO;ASEM ROWO;6446;6446;0;781;4810;4;4788;684;2;74.278.622.401.489;49
Maret;2023;BULAK;BULAK;7394;7394;1;1254;4757;3;4734;567;2;64.024.885.041.926;59
Maret;2023;PAKAL;PAKAL;9018;9018;0;1465;5877;33;5850;637;4;64.870.259.481.038;22
Maret;2023;SAMBIKEREP;SAMBIKEREP;8842;8842;0;1239;6232;6;6201;560;2;70.131.192.038;41
April;2023;KARANG PILANG;KARANG PILANG;9947;9947;1;1631;6396;18;6341;219;1;63.747.863.677.491;74
April;2023;WONOCOLO;WONOCOLO;8695;8695;0;1923;4800;5;4772;234;1;54.882.116.158.712;36
April;2023;RUNGKUT;RUNGKUT;16271;16271;0;3121;10574;143;10527;808;2;64.697.928.830.435;33
April;2023;WONOKROMO;WONOKROMO;16669;16669;0;2859;11102;69;11042;817;2;66.242.726.018.357;3
April;2023;TEGALSARI;TEGALSARI;9029;9029;6;1989;5622;10;5587;283;0;61.878.391.848.488;46
April;2023;SAWAHAN;SAWAHAN;20273;20273;0;3991;12009;21;11894;708;5;58.669.165.885.661;4
April;2023;GENTENG;GENTENG;5577;5577;0;992;3889;4;3874;212;1;69.463.869.463.869;31
April;2023;GUBENG;GUBENG;12028;12028;0;2607;6579;7;6484;268;0;53.907.549.052.212;65
April;2023;SUKOLILO;SUKOLILO;11738;11738;0;2460;7683;22;7663;572;0;65.283.693.985.347;53
April;2023;TAMBAKSARI;TAMBAKSARI;25865;25865;2;5119;16283;28;15890;1155;3;61.434.370.771.313;80
April;2023;SIMOKERTO;SIMOKERTO;9409;9409;3;1364;6234;55;6215;207;0;66.053.778.297.375;35
April;2023;PABEAN CANTIAN;PABEAN CANTIAN;7604;7604;5;1061;5177;22;5144;187;0;67.648.605.996.844;18
April;2023;BUBUTAN;BUBUTAN;11277;11277;0;1952;6636;12;6588;224;0;58.419.792.498.005;0
April;2023;TANDES;TANDES;10882;10882;0;1910;6198;16;6140;283;4;56.423.451.571.402;1
April;2023;KREMBANGAN;KREMBANGAN;12714;12714;0;2035;7506;12;7426;272;4;58.408.054.113.576;86
April;2023;SEMAMPIR;SEMAMPIR;18713;18713;0;2734;11508;7;11426;489;2;61.059.156.735.959;123
April;2023;KENJERAN;KENJERAN;23459;23459;0;3207;15465;70;15397;632;3;65.633.658.723.731;154
April;2023;LAKARSANTRI;LAKARSANTRI;7910;7910;0;1010;5747;5;5714;304;1;72.237.673.830.594;0
April;2023;BENOWO;BENOWO;11738;11738;0;2165;7483;15;7445;341;0;63.426.478.105.299;47
April;2023;WIYUNG;WIYUNG;8708;8708;0;1358;5631;11;5554;138;1;63.780.431.786.863;38
April;2023;DUKUH PAKIS;DUKUH PAKIS;7189;7189;0;1384;4731;5;4685;234;1;65.169.008.206.983;36
April;2023;GAYUNGAN;GAYUNGAN;4277;4277;0;939;2878;7;2843;182;4;66.471.826.046.294;1
April;2023;JAMBANGAN;JAMBANGAN;7010;7010;0;1088;5190;19;5143;322;2;73.366.619.115.549;0
April;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;8534;8534;0;1587;4935;18;4893;152;1;57.335.364.424.654;39
April;2023;GUNUNG ANYAR;GUNUNG ANYAR;7470;7470;0;1587;4609;9;4564;243;3;61.097.724.230.254;28
April;2023;MULYOREJO;MULYOREJO;6747;6747;0;1395;4659;57;4589;219;2;68.015.414.258.189;25
April;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;9880;9880;1;1803;6522;13;6498;322;0;65.769.230.769.231;45
April;2023;ASEM ROWO;ASEM ROWO;6343;6343;0;780;5098;9;5071;283;2;79.946.397.603.658;49
April;2023;BULAK;BULAK;7349;7349;1;1242;4926;8;4898;164;1;66.648.523.608.654;59
April;2023;PAKAL;PAKAL;8938;8938;0;1455;6116;12;6084;234;1;68.068.919.221.302;22
April;2023;SAMBIKEREP;SAMBIKEREP;8797;8797;0;1234;6393;14;6357;156;1;72.263.271.569.853;41
Mei;2023;KARANG PILANG;KARANG PILANG;10081;10081;0;1822;6651;17;6596;240;2;65.430.016.863.406;74
Mei;2023;WONOCOLO;WONOCOLO;8830;8830;1;2114;5084;6;5056;270;2;57.259.343.148.358;36
Mei;2023;RUNGKUT;RUNGKUT;16445;16445;0;3346;11297;7;11251;704;8;68.415.931.894.193;33
Mei;2023;WONOKROMO;WONOKROMO;16855;16855;1;3087;11954;50;11894;786;54;70.566.597.448.828;3
Mei;2023;TEGALSARI;TEGALSARI;9159;9159;1;2174;5941;13;5906;304;3;64.483.022.163.992;46
Mei;2023;SAWAHAN;SAWAHAN;20467;20467;0;4418;12558;34;12443;513;24;6.079.542.678.458;4
Mei;2023;GENTENG;GENTENG;5693;5693;0;1149;4280;15;4265;379;0;74.916.564.201.651;31
Mei;2023;GUBENG;GUBENG;12199;12199;0;2760;7150;6;7055;551;8;57.832.609.230.265;65
Mei;2023;SUKOLILO;SUKOLILO;11886;11886;0;2611;8639;39;8620;941;4;72.522.295.137.136;53
Mei;2023;TAMBAKSARI;TAMBAKSARI;26096;26096;1;5488;17384;7;16992;1053;38;65.113.427.345.187;80
Mei;2023;SIMOKERTO;SIMOKERTO;9567;9567;0;1551;6460;63;6441;214;0;67.325.180.307.306;35
Mei;2023;PABEAN CANTIAN;PABEAN CANTIAN;7737;7737;1;1256;5393;15;5360;204;0;69.277.497.738.141;18
Mei;2023;BUBUTAN;BUBUTAN;11437;11437;0;2141;6909;18;6861;256;5;59.989.507.738.043;0
Mei;2023;TANDES;TANDES;11034;11034;0;2091;6419;28;6361;208;1;57.649.084.647.453;1
Mei;2023;KREMBANGAN;KREMBANGAN;12874;12874;1;2223;7748;23;7668;226;4;59.561.907.720.988;86
Mei;2023;SEMAMPIR;SEMAMPIR;18908;18908;6;3068;11806;8;11725;254;33;62.010.789.083.986;123
Mei;2023;KENJERAN;KENJERAN;23656;23656;0;3546;16240;43;16172;732;31;68.363.205.951.978;154
Mei;2023;LAKARSANTRI;LAKARSANTRI;8037;8037;0;1101;5926;8;5893;166;1;73.323.379.370.412;0
Mei;2023;BENOWO;BENOWO;11903;11903;0;2346;7819;7;7781;322;2;65.370.074.771.066;47
Mei;2023;WIYUNG;WIYUNG;8853;8853;0;1551;5819;45;5743;168;10;64.870.665.311.194;38
Mei;2023;DUKUH PAKIS;DUKUH PAKIS;7326;7326;0;1526;4912;22;4866;164;6;66.420.966.420.966;36
Mei;2023;GAYUNGAN;GAYUNGAN;4428;4428;5;1032;3023;60;2988;134;0;67.479.674.796.748;1
Mei;2023;JAMBANGAN;JAMBANGAN;7151;7151;0;1174;5651;11;5605;450;1;78.380.646.063.488;0
Mei;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;8696;8696;0;1781;5060;1;5018;108;6;57.704.691.812.328;39
Mei;2023;GUNUNG ANYAR;GUNUNG ANYAR;7609;7609;0;1775;4807;4;4762;184;3;62.583.782.362.991;28
Mei;2023;MULYOREJO;MULYOREJO;6883;6883;2;1490;4959;92;4889;283;6;71.030.074.095.598;25
Mei;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;10057;10057;0;1889;6984;26;6960;451;0;69.205.528.487.621;45
Mei;2023;ASEM ROWO;ASEM ROWO;6488;6488;0;868;5470;2;5443;361;0;83.893.341.553.637;49
Mei;2023;BULAK;BULAK;7486;7486;0;1334;5059;16;5031;120;2;67.205.450.173.657;59
Mei;2023;PAKAL;PAKAL;9092;9092;0;1516;6282;14;6250;153;2;68.741.750.989.881;22
Mei;2023;SAMBIKEREP;SAMBIKEREP;8932;8932;0;1326;6525;24;6489;121;0;72.648.902.821.317;41
Juni;2023;KARANG PILANG;KARANG PILANG;10203;10203;0;1845;6998;9;6943;344;3;68.048.613.152.994;74
Juni;2023;WONOCOLO;WONOCOLO;8937;8937;0;2103;5386;8;5358;299;3;59.953.004.363.881;36
Juni;2023;RUNGKUT;RUNGKUT;16646;16646;0;3440;11863;19;11817;562;4;70.990.027.634.266;33
Juni;2023;WONOKROMO;WONOKROMO;17061;17061;0;3192;12535;122;12475;570;11;73.119.981.243.772;3
Juni;2023;TEGALSARI;TEGALSARI;9271;9271;1;2171;6259;12;6224;309;9;67.134.073.994.175;46
Juni;2023;SAWAHAN;SAWAHAN;20716;20716;0;4414;13261;16;13148;692;13;63.467.850.936.474;4
Juni;2023;GENTENG;GENTENG;5763;5763;0;1102;4477;12;4462;197;0;77.424.952.281.798;31
Juni;2023;GUBENG;GUBENG;12347;12347;0;2847;7569;15;7476;413;8;60.549.121.244.027;65
Juni;2023;SUKOLILO;SUKOLILO;12031;12031;0;2700;9048;35;9029;398;11;75.047.793.200.898;53
Juni;2023;TAMBAKSARI;TAMBAKSARI;26415;26415;1;5668;18279;12;17890;867;31;67.726.670.452.394;80
Juni;2023;SIMOKERTO;SIMOKERTO;9684;9684;0;1564;6790;74;6771;330;0;69.919.454.770.756;35
Juni;2023;PABEAN CANTIAN;PABEAN CANTIAN;7831;7831;1;1213;5658;14;5625;262;3;71.829.906.780.743;18
Juni;2023;BUBUTAN;BUBUTAN;11576;11576;0;2184;7303;46;7255;373;21;62.672.771.250.864;0
Juni;2023;TANDES;TANDES;11169;11169;1;2142;6799;31;6741;368;12;60.354.552.780.016;1
Juni;2023;KREMBANGAN;KREMBANGAN;13032;13032;1;2293;8191;38;8111;443;0;62.239.103.744.629;86
Juni;2023;SEMAMPIR;SEMAMPIR;19139;19139;5;3145;12455;21;12375;640;10;6.465.855.060.348;123
Juni;2023;KENJERAN;KENJERAN;23944;23944;0;3713;17056;75;16988;794;22;70.948.880.721.684;154
Juni;2023;LAKARSANTRI;LAKARSANTRI;8135;8135;0;1179;6201;15;6169;273;3;75.832.821.143.208;0
Juni;2023;BENOWO;BENOWO;12048;12048;0;2400;8228;16;8190;409;0;67.978.087.649.402;47
Juni;2023;WIYUNG;WIYUNG;8960;8960;0;1540;6121;44;6046;295;8;67.477.678.571.429;38
Juni;2023;DUKUH PAKIS;DUKUH PAKIS;7415;7415;1;1529;5165;26;5119;231;22;69.035.738.368.173;36
Juni;2023;GAYUNGAN;GAYUNGAN;4482;4482;0;1028;3175;4;3140;148;4;70.058.009.817.046;1
Juni;2023;JAMBANGAN;JAMBANGAN;7239;7239;0;1231;5897;21;5851;241;5;80.826.080.950.408;0
Juni;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;8802;8802;0;1770;5358;4;5316;298;0;60.395.364.689.843;39
Juni;2023;GUNUNG ANYAR;GUNUNG ANYAR;7703;7703;4;1742;5070;6;5025;261;2;65.234.324.289.238;28
Juni;2023;MULYOREJO;MULYOREJO;6966;6966;2;1538;5196;72;5126;231;6;73.585.989.089.865;25
Juni;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;10179;10179;0;2003;7329;25;7305;336;9;71.765.399.351.606;45
Juni;2023;ASEM ROWO;ASEM ROWO;6567;6567;0;916;5693;5;5506;61;2;83.843.459.722.857;49
Juni;2023;BULAK;BULAK;7577;7577;0;1398;5317;8;5289;257;1;69.803.352.250.231;59
Juni;2023;PAKAL;PAKAL;9203;9203;0;1587;6593;14;6562;309;3;71.302.836.031.729;22
Juni;2023;SAMBIKEREP;SAMBIKEREP;9041;9041;0;1420;6831;8;6795;300;6;75.157.615.308.041;41
Juli;2023;KARANG PILANG;KARANG PILANG;10317;10317;0;2030;7502;16;7447;500;4;72.181.835.804.982;19
Juli;2023;WONOCOLO;WONOCOLO;9039;9039;0;2319;5814;34;5786;424;4;64.011.505.697.533;9
Juli;2023;RUNGKUT;RUNGKUT;16833;16833;0;3913;12748;39;12702;877;8;75.458.919.978.613;8
Juli;2023;WONOKROMO;WONOKROMO;17254;17254;5;3271;13449;36;13390;887;28;77.605.192.998.725;1
Juli;2023;TEGALSARI;TEGALSARI;9375;9375;1;1949;6708;20;6673;447;2;71.178.666.666.667;12
Juli;2023;SAWAHAN;SAWAHAN;20949;20949;0;4965;14388;26;14276;1120;8;68.146.450.904.578;1
Juli;2023;GENTENG;GENTENG;5829;5829;0;819;4719;24;4704;240;2;80.699.948.533.196;8
Juli;2023;GUBENG;GUBENG;12487;12487;1;2625;8202;24;8110;631;3;64.947.545.447.265;16
Juli;2023;SUKOLILO;SUKOLILO;12166;12166;2;2157;9660;47;9642;606;7;7.925.365.773.467;13
Juli;2023;TAMBAKSARI;TAMBAKSARI;26713;26713;5;6263;19740;18;19355;1447;18;72.455.358.814.061;20
Juli;2023;SIMOKERTO;SIMOKERTO;9793;9793;1;1604;7264;61;7245;469;5;7.398.141.529.664;9
Juli;2023;PABEAN CANTIAN;PABEAN CANTIAN;7919;7919;3;1314;6021;17;5988;357;6;75.615.608.031.317;5
Juli;2023;BUBUTAN;BUBUTAN;11706;11706;0;1880;7890;33;7842;575;12;66.991.286.519.733;0
Juli;2023;TANDES;TANDES;11295;11295;0;2276;7363;48;7303;561;1;64.656.927.844.179;0
Juli;2023;KREMBANGAN;KREMBANGAN;13179;13179;2;2377;8861;20;8783;658;14;666.439.031.793;22
Juli;2023;SEMAMPIR;SEMAMPIR;19355;19355;7;3277;13487;22;13409;1016;18;692.792.560.062;31
Juli;2023;KENJERAN;KENJERAN;24213;24213;0;3019;18370;54;18306;1299;19;75.604.014.372.445;39
Juli;2023;LAKARSANTRI;LAKARSANTRI;8226;8226;0;1414;6583;12;6551;380;2;79.637.734.014.102;0
Juli;2023;BENOWO;BENOWO;12184;12184;1;2717;8843;45;8805;615;0;72.266.907.419.567;12
Juli;2023;WIYUNG;WIYUNG;9062;9062;0;920;6555;41;6475;414;15;7.145.221.805.341;10
Juli;2023;DUKUH PAKIS;DUKUH PAKIS;7499;7499;1;1663;5505;21;5459;336;4;72.796.372.849.713;9
Juli;2023;GAYUNGAN;GAYUNGAN;4532;4532;2;724;3342;41;3307;165;2;72.969.991.173.875;0
Juli;2023;JAMBANGAN;JAMBANGAN;7321;7321;5;1114;6226;23;6180;323;6;84.414.697.445.704;0
Juli;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;8901;8901;0;1903;5780;11;5738;419;3;64.464.666.891.361;10
Juli;2023;GUNUNG ANYAR;GUNUNG ANYAR;7790;7790;1;1469;5425;3;5381;354;2;69.075.738.125.802;7
Juli;2023;MULYOREJO;MULYOREJO;7045;7045;0;1737;5509;16;5439;308;5;77.203.690.560.681;6
Juli;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;10293;10293;0;2291;7831;21;7807;496;6;75.847.663.460.604;11
Juli;2023;ASEM ROWO;ASEM ROWO;6641;6641;0;798;5822;8;5795;287;2;87.260.954.675.501;12
Juli;2023;BULAK;BULAK;7663;7663;0;1466;5666;19;5638;343;6;7.357.431.815.216;15
Juli;2023;PAKAL;PAKAL;9307;9307;0;1717;7038;23;7007;440;5;75.287.418.072.419;6
Juli;2023;SAMBIKEREP;SAMBIKEREP;9143;9143;0;1680;7266;7;7231;433;3;79.087.826.752.707;10
Agustus;2023;KARANG PILANG;KARANG PILANG;10421;10421;0;1948;7793;18;7739;291;1;74.263.506.381.345;11
Agustus;2023;WONOCOLO;WONOCOLO;9136;9136;0;1704;6069;28;6041;250;5;66.123.029.772.329;9
